timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785152897903,10407,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-50,text,true,,844157,431,21,21,https://studyflow-assignment2-backend.onrender.com/api/tasks,10394,0,0
1785152908352,68,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-31,text,true,,251725,163,21,21,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,29,0,0
1785152898805,10021,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-45,text,true,,844145,431,21,21,https://studyflow-assignment2-backend.onrender.com/api/tasks,10017,0,0
1785152908811,35,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-50,text,true,,1060,139,20,20,https://studyflow-frontend-hace.onrender.com/,35,0,0
1785152900652,8605,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-44,text,true,,14189,433,20,20,https://studyflow-assignment2-backend.onrender.com/api/courses,8605,0,0
1785152899008,10330,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-48,text,true,,844147,431,20,20,https://studyflow-assignment2-backend.onrender.com/api/tasks,10249,0,0
1785152909352,41,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-50,text,true,,251725,163,20,20,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,31,0,0
1785152898008,11511,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-43,text,true,,844163,431,20,20,https://studyflow-assignment2-backend.onrender.com/api/tasks,11496,0,0
1785152901170,8424,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-47,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,8424,0,43
1785152903936,5658,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-14,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,5658,0,43
